COUNTY,2015,2016,2017,2018,2019,2020
Allegany,2490,2319,2483,1896,1749,1529
Anne Arundel,15109,14938,14036,12540,12381,10433
Baltimore,26902,27944,28398,26193,25172,20045
Baltimore City,41124,41128,43132,38786,37219,28147
Calvert,1490,1324,1058,1033,973,866
Caroline,727,729,667,524,543,459
Carroll,2275,2257,2284,1942,1844,1373
Cecil,3027,2979,2493,2520,2390,2027
Charles,3527,3145,3220,3158,3122,2669
Dorchester,1366,1104,1407,992,1013,982
Frederick,4097,3769,3636,3523,3416,2671
Garrett,521,435,492,406,432,357
Harford,3747,4024,3389,3388,2922,2217
Howard,6039,6258,6284,5197,4833,3993
Kent,382,294,215,174,203,152
Montgomery,18566,17443,17822,16125,16696,16594
Prince George's,26386,24230,22558,21087,19563,19401
Queen Anne's,794,720,683,532,504,437
Somerset,448,607,508,432,387,398
St. Mary's,2584,2302,2196,2162,2111,1744
Talbot,773,791,730,648,541,477
Washington,3411,3632,3192,3367,2775,2249
Wicomico,3795,3503,3525,3174,2832,2202
Worcester,2008,1987,1950,1551,1432,1536
