County,population,MURDER,% OF MURDER PER POPULATION,White Alone,Black Alone,Asian Alone,American Indian/Alaska Native Alone,Native Hawaiian/Pacific Islander Alone,Some Other Race Alone,Two or More Races,Hispanic or Latino (of any race),Employed,Unemployed,Median Household Income ($)
Allegany County,71002,1,,61485,5816,658,108,6,77,1527,1325,27491,2216,49449
Anne Arundel County,575421,26,,385867,94409,21836,788,239,1667,24385,46230,293748,13024,103225
Baltimore County,828193,334,,465027,239709,49981,1711,337,2874,22375,46179,420275,22293,78724
Calvert County,92094,33,,71488,11260,1699,131,38,134,3526,3818,47021,1858,112696
Caroline County,33260,1,,25003,4374,170,39,0,64,1100,2510,16078,822,59042
Carroll County,168233,0,,148612,5949,3437,423,13,354,3228,6217,88204,3145,99569
Cecil County,102889,5,,86797,6606,1541,81,7,53,3104,4700,50643,2783,79415
Charles County,161448,1,,61795,75661,4966,913,39,645,7650,9779,81467,3726,103678
Dorchester County,31994,16,,20017,8112,377,12,0,5,1631,1840,14706,1150,52799
Frederick County,255955,3,,185309,24325,11309,444,160,386,8494,25528,135563,5767,100685
Garrett County,29155,9,,28053,348,128,16,12,0,253,345,13894,602,54542
Harford County,253736,2,,191074,34527,6662,311,6,1049,8251,11856,131679,5706,94003
Howard County,322407,5,,163403,60494,59359,537,90,1745,14066,22713,170492,6860,124042
Kent County,19456,7,,15058,2706,222,15,1,39,542,873,9422,323,60208
Montgomery County,1047661,0,,451553,188234,156007,1430,377,6926,38514,204620,559029,27203,111812
Prince George's County,910551,18,,112285,557553,38412,2012,276,4721,24198,171094,483654,32959,86994
Queen Anne's County,50163,93,,42850,2932,549,28,0,137,1602,2065,25678,828,96467
St. Mary's County,113182,0,,83320,16163,2914,67,21,188,4502,6007,55942,2022,95864
Somerset County,25699,0,,13233,10434,213,70,0,5,798,946,9395,955,44980
Talbot County,37087,7,,28746,3941,485,58,0,62,1250,2545,17311,521,73102
Washington County,150575,0,,117471,16142,2551,210,133,263,5636,8169,68853,3997,63510
Wicomico County,103222,8,,64097,26745,3106,159,20,395,3150,5550,49592,4253,60366
Worcester County,51967,3,,41534,6513,608,85,0,106,1239,1882,24238,1517,65396
Baltimore city,602274,1,,164417,370749,14837,1575,179,2374,15516,32627,281905,23041,52164
